date,ticker,day_return,bucket,volume_ratio
2018-06-29,JINDALSAW.NS,11.67,10-15%,2.24
2018-06-29,KOLTEPATIL.NS,19.47,15%+,6.65
2018-07-04,ADANIGREEN.NS,12.33,10-15%,
2018-07-06,BEL.NS,8.36,7-10%,3.08
2018-07-09,JINDALSAW.NS,8.26,7-10%,1.78
2018-07-09,NCLIND.NS,7.58,7-10%,0.86
2018-07-10,ORIENTELEC.NS,8.36,7-10%,0.87
2018-07-11,ADANIENT.NS,8.76,7-10%,3.24
2018-07-17,FEDERALBNK.NS,19.08,15%+,7.5
2018-07-17,UNIONBANK.NS,8.47,7-10%,1.78
2018-07-20,BAJFINANCE.NS,7.98,7-10%,4.42
2018-07-20,ADANIENT.NS,7.88,7-10%,2.18
2018-07-20,ADANIGREEN.NS,19.19,15%+,6.09
2018-07-20,CEATLTD.NS,7.56,7-10%,5.38
2018-07-23,ADANIGREEN.NS,19.92,15%+,2.55
2018-07-23,HAVELLS.NS,8.86,7-10%,6.65
2018-07-23,GODFRYPHLP.NS,8.0,7-10%,4.3
2018-07-24,GRASIM.NS,8.48,7-10%,3.41
2018-07-24,ADANIENT.NS,8.67,7-10%,3.42
2018-07-24,ADANIGREEN.NS,9.89,7-10%,1.33
2018-07-24,WHIRLPOOL.NS,7.18,7-10%,4.39
2018-07-24,AMBUJACEM.NS,7.4,7-10%,3.6
2018-07-24,ACC.NS,12.56,10-15%,8.04
2018-07-24,COFORGE.NS,8.07,7-10%,2.62
2018-07-24,ALKEM.NS,7.59,7-10%,6.05
2018-07-24,GMMPFAUDLR.NS,10.68,10-15%,8.98
2018-07-24,JINDALSAW.NS,10.58,10-15%,1.52
2018-07-24,NCLIND.NS,8.92,7-10%,0.83
2018-07-25,ADANIENT.NS,7.39,7-10%,3.15
2018-07-25,ADANIGREEN.NS,9.97,7-10%,0.74
2018-07-25,NAVINFLUOR.NS,12.75,10-15%,11.49
2018-07-26,AMBUJACEM.NS,7.22,7-10%,4.4
2018-07-26,CANBK.NS,7.7,7-10%,3.42
2018-07-26,ORIENTELEC.NS,7.18,7-10%,2.57
2018-07-26,WELCORP.NS,14.36,10-15%,15.22
2018-07-27,INOXWIND.NS,11.57,10-15%,6.91
2018-07-30,ADANIGREEN.NS,9.93,7-10%,1.29
2018-07-30,HAL.NS,12.78,10-15%,7.35
2018-07-30,BANKBARODA.NS,10.3,10-15%,4.0
2018-07-31,DABUR.NS,7.14,7-10%,5.92
2018-07-31,HAL.NS,8.81,7-10%,9.01
2018-07-31,BEL.NS,7.93,7-10%,2.87
2018-07-31,VBL.NS,7.91,7-10%,2.13
2018-08-01,ABFRL.NS,10.13,10-15%,12.65
2018-08-01,HINDCOPPER.NS,8.15,7-10%,5.3
2018-08-02,ABFRL.NS,12.28,10-15%,11.28
2018-08-02,TCI.NS,7.51,7-10%,9.11
2018-08-03,JPPOWER.NS,13.46,10-15%,2.86
2018-08-06,JPPOWER.NS,18.64,15%+,6.65
2018-08-09,PAGEIND.NS,7.2,7-10%,3.19
2018-08-09,ORIENTELEC.NS,8.56,7-10%,6.99
2018-08-09,NATIONALUM.NS,7.2,7-10%,2.76
2018-08-13,APOLLOHOSP.NS,13.21,10-15%,6.83
2018-08-13,UBL.NS,7.72,7-10%,3.87
2018-08-13,TCI.NS,9.1,7-10%,1.77
2018-08-14,ABFRL.NS,7.96,7-10%,1.35
2018-08-14,KARURVYSYA.NS,7.74,7-10%,2.12
2018-08-14,BALKRISIND.NS,8.72,7-10%,4.48
2018-08-14,NCLIND.NS,8.35,7-10%,2.55
2018-08-17,LALPATHLAB.NS,7.54,7-10%,3.49
2018-08-17,TCI.NS,8.27,7-10%,3.01
2018-08-20,WELCORP.NS,11.48,10-15%,1.59
2018-08-20,JINDALSAW.NS,7.08,7-10%,1.92
2018-08-21,KAJARIACER.NS,10.85,10-15%,6.48
2018-08-21,KEC.NS,7.51,7-10%,3.46
2018-08-21,CESC.NS,7.01,7-10%,6.09
2018-08-24,BHEL.NS,8.53,7-10%,4.52
2018-08-24,GMMPFAUDLR.NS,9.43,7-10%,2.33
2018-08-27,JINDALSAW.NS,8.12,7-10%,2.81
2018-08-27,MOIL.NS,9.27,7-10%,11.55
2018-08-28,ADANIENT.NS,8.43,7-10%,2.49
2018-08-29,JSWSTEEL.NS,8.96,7-10%,6.82
2018-08-29,JPPOWER.NS,12.28,10-15%,1.63
2018-08-30,BOSCHLTD.NS,9.6,7-10%,6.85
2018-08-30,JPPOWER.NS,18.75,15%+,4.07
2018-08-31,JPPOWER.NS,14.47,10-15%,3.65
2018-09-05,MUTHOOTFIN.NS,9.24,7-10%,11.01
2018-09-06,ADANIENT.NS,20.95,15%+,2.35
2018-09-06,AUROPHARMA.NS,8.95,7-10%,3.87
2018-09-06,GODFRYPHLP.NS,7.62,7-10%,4.56
2018-09-14,PRESTIGE.NS,7.57,7-10%,2.09
2018-09-14,PNCINFRA.NS,8.65,7-10%,2.25
2018-09-14,JINDALSAW.NS,7.69,7-10%,1.6
2018-09-14,DEEPAKNTR.NS,8.11,7-10%,4.26
2018-09-19,DEEPAKNTR.NS,7.47,7-10%,3.45
2018-09-26,BEL.NS,10.5,10-15%,2.34
2018-10-01,INDIANB.NS,8.29,7-10%,1.22
2018-10-03,NATIONALUM.NS,11.11,10-15%,2.45
2018-10-03,WELCORP.NS,7.67,7-10%,1.12
2018-10-09,IIFL.NS,7.25,7-10%,1.24
2018-10-09,NCLIND.NS,8.89,7-10%,2.08
2018-10-10,BAJFINANCE.NS,10.19,10-15%,1.84
2018-10-10,BAJAJFINSV.NS,9.81,7-10%,1.73
2018-10-10,EICHERMOT.NS,7.1,7-10%,1.26
2018-10-10,GODREJCP.NS,7.4,7-10%,1.07
2018-10-10,HAVELLS.NS,8.4,7-10%,1.26
2018-10-10,GODREJPROP.NS,7.28,7-10%,3.73
2018-10-10,MUTHOOTFIN.NS,8.52,7-10%,1.85
2018-10-10,CHOLAFIN.NS,9.44,7-10%,0.96
2018-10-10,BEL.NS,7.31,7-10%,0.72
2018-10-10,RAYMOND.NS,8.54,7-10%,1.17
2018-10-10,CANBK.NS,7.65,7-10%,1.08
2018-10-10,UNIONBANK.NS,9.05,7-10%,1.29
2018-10-10,INDIANB.NS,7.29,7-10%,0.76
2018-10-10,M&MFIN.NS,9.44,7-10%,1.52
2018-10-10,INOXWIND.NS,7.74,7-10%,0.82
2018-10-10,TVSMOTOR.NS,7.76,7-10%,1.43
2018-10-10,ORIENTELEC.NS,7.73,7-10%,0.66
2018-10-10,IFBIND.NS,8.15,7-10%,1.33
2018-10-10,NATIONALUM.NS,8.99,7-10%,1.59
2018-10-10,RPOWER.NS,7.1,7-10%,0.99
2018-10-11,HINDCOPPER.NS,9.16,7-10%,3.34
2018-10-12,TATAPOWER.NS,10.6,10-15%,4.73
2018-10-12,CHOLAFIN.NS,7.16,7-10%,1.03
2018-10-12,DCBBANK.NS,7.03,7-10%,1.02
2018-10-12,INOXWIND.NS,8.75,7-10%,1.18
2018-10-12,WELCORP.NS,9.81,7-10%,0.86
2018-10-12,JYOTHYLAB.NS,8.13,7-10%,2.44
2018-10-12,RPOWER.NS,8.49,7-10%,1.41
2018-10-15,MPHASIS.NS,7.64,7-10%,1.08
2018-10-15,ORIENTELEC.NS,12.43,10-15%,2.18
2018-10-15,GUJGASLTD.NS,13.65,10-15%,1.58
2018-10-16,FEDERALBNK.NS,7.72,7-10%,4.84
2018-10-24,BHARTIARTL.NS,10.48,10-15%,1.78
2018-10-24,BAJFINANCE.NS,10.97,10-15%,2.16
2018-10-24,OBEROIRLTY.NS,9.62,7-10%,1.51
2018-10-24,M&MFIN.NS,7.12,7-10%,2.03
2018-10-24,IIFL.NS,8.28,7-10%,1.6
2018-10-25,KAJARIACER.NS,7.53,7-10%,3.71
2018-10-26,RAYMOND.NS,11.95,10-15%,5.46
2018-10-26,CEATLTD.NS,8.86,7-10%,4.52
2018-10-29,ICICIBANK.NS,10.69,10-15%,2.84
2018-10-29,SBIN.NS,7.98,7-10%,1.38
2018-10-29,ADANIPORTS.NS,7.33,7-10%,1.22
2018-10-29,DIVISLAB.NS,14.68,10-15%,4.94
2018-10-29,TATAPOWER.NS,12.63,10-15%,4.88
2018-10-29,GODREJPROP.NS,10.8,10-15%,0.96
2018-10-29,RAYMOND.NS,7.68,7-10%,3.28
2018-10-29,PNB.NS,7.18,7-10%,1.31
2018-10-29,BANKBARODA.NS,8.35,7-10%,1.08
2018-10-29,CANBK.NS,12.07,10-15%,1.59
2018-10-29,UNIONBANK.NS,12.15,10-15%,2.13
2018-10-29,INDIANB.NS,8.59,7-10%,1.44
2018-10-29,NEWGEN.NS,8.6,7-10%,4.41
2018-10-29,AUROPHARMA.NS,7.4,7-10%,1.0
2018-10-29,WELCORP.NS,9.03,7-10%,1.37
2018-10-29,RPOWER.NS,7.85,7-10%,1.66
2018-10-30,CANBK.NS,7.58,7-10%,2.83
2018-10-30,UNIONBANK.NS,8.75,7-10%,4.32
2018-10-30,JINDALSAW.NS,8.07,7-10%,1.88
2018-10-30,VBL.NS,7.1,7-10%,2.2
2018-10-30,NAVINFLUOR.NS,7.08,7-10%,3.04
2018-10-31,TECHM.NS,8.58,7-10%,3.49
2018-10-31,CUMMINSIND.NS,10.92,10-15%,6.34
2018-10-31,TORNTPOWER.NS,13.17,10-15%,5.07
2018-11-01,ESCORTS.NS,7.57,7-10%,2.62
2018-11-01,BRIGADE.NS,9.69,7-10%,0.72
2018-11-02,MOTHERSON.NS,8.32,7-10%,2.03
2018-11-02,DEEPAKNTR.NS,9.01,7-10%,4.77
2018-11-09,HAL.NS,16.4,15%+,14.5
2018-11-09,GODFRYPHLP.NS,8.73,7-10%,1.85
2018-11-13,RADICO.NS,7.86,7-10%,3.35
2018-11-14,NEWGEN.NS,16.03,15%+,11.15
2018-11-15,APOLLOHOSP.NS,8.05,7-10%,5.87
2018-11-16,BHARTIARTL.NS,9.31,7-10%,3.31
2018-11-22,IDFCFIRSTB.NS,7.14,7-10%,3.37
2018-11-29,ADANIENT.NS,7.53,7-10%,2.56
2018-11-29,PRESTIGE.NS,8.27,7-10%,2.8
2018-11-30,PRESTIGE.NS,9.18,7-10%,5.99
2018-11-30,PAGEIND.NS,7.35,7-10%,1.92
2018-11-30,NEWGEN.NS,9.55,7-10%,1.23
2018-12-03,TATAPOWER.NS,8.48,7-10%,4.2
2018-12-04,THERMAX.NS,7.76,7-10%,6.07
2018-12-07,KOTAKBANK.NS,8.42,7-10%,8.55
2018-12-07,MUTHOOTFIN.NS,12.04,10-15%,8.44
2018-12-07,ORIENTELEC.NS,7.37,7-10%,6.07
2018-12-12,HEROMOTOCO.NS,7.23,7-10%,4.07
2018-12-12,ABFRL.NS,8.96,7-10%,5.47
2018-12-12,TANLA.NS,7.44,7-10%,1.52
2018-12-12,SUPRAJIT.NS,7.41,7-10%,1.12
2018-12-13,PRESTIGE.NS,7.75,7-10%,0.66
2018-12-13,IIFL.NS,8.29,7-10%,1.92
2018-12-14,GMMPFAUDLR.NS,7.78,7-10%,5.58
2018-12-19,DLF.NS,7.55,7-10%,2.78
2018-12-19,KOLTEPATIL.NS,9.85,7-10%,8.92
2018-12-24,PATANJALI.NS,9.68,7-10%,1.94
2018-12-26,PATANJALI.NS,9.56,7-10%,1.77
2018-12-26,BRIGADE.NS,13.9,10-15%,16.46
2018-12-27,PATANJALI.NS,9.4,7-10%,1.65
2019-01-01,PRESTIGE.NS,7.19,7-10%,7.18
2019-01-01,KOLTEPATIL.NS,9.46,7-10%,11.93
2019-01-15,IFBIND.NS,11.69,10-15%,13.31
2019-01-15,GODFRYPHLP.NS,7.11,7-10%,4.66
2019-01-15,GUJGASLTD.NS,7.06,7-10%,10.93
2019-01-16,SUPRAJIT.NS,7.69,7-10%,2.23
2019-01-17,SOBHA.NS,9.22,7-10%,6.03
2019-01-24,OBEROIRLTY.NS,7.16,7-10%,3.04
2019-01-24,TANLA.NS,9.87,7-10%,5.4
2019-01-28,TANLA.NS,7.27,7-10%,3.69
2019-01-29,ADANIPORTS.NS,7.1,7-10%,2.84
2019-01-29,ADANIGREEN.NS,7.38,7-10%,2.16
2019-01-29,TANLA.NS,9.87,7-10%,6.14
2019-02-01,HEROMOTOCO.NS,7.39,7-10%,4.86
2019-02-06,TECHM.NS,8.04,7-10%,5.33
2019-02-07,ICICIPRULI.NS,8.17,7-10%,1.81
2019-02-07,MANAPPURAM.NS,7.38,7-10%,6.91
2019-02-08,INOXWIND.NS,9.06,7-10%,6.13
2019-02-08,JPPOWER.NS,9.68,7-10%,1.45
2019-02-08,RPOWER.NS,9.0,7-10%,3.11
2019-02-14,INDIANB.NS,13.66,10-15%,1.32
2019-02-14,IIFL.NS,19.18,15%+,2.52
2019-02-18,RPOWER.NS,11.27,10-15%,1.27
2019-02-19,WELCORP.NS,8.67,7-10%,2.18
2019-02-19,EMAMILTD.NS,13.28,10-15%,8.51
2019-02-21,HAL.NS,7.76,7-10%,5.57
2019-02-21,JPPOWER.NS,9.37,7-10%,2.41
2019-02-22,ADANIENT.NS,7.24,7-10%,2.38
2019-02-22,INOXWIND.NS,13.89,10-15%,6.0
2019-02-22,IFBIND.NS,7.97,7-10%,1.68
2019-02-22,JPPOWER.NS,8.57,7-10%,1.84
2019-02-25,MOTHERSON.NS,10.94,10-15%,4.93
2019-03-01,BANKBARODA.NS,7.03,7-10%,2.34
2019-03-01,UNIONBANK.NS,7.68,7-10%,2.22
2019-03-01,RPOWER.NS,14.88,10-15%,1.97
2019-03-01,BIRLACORPN.NS,8.73,7-10%,3.87
2019-03-05,EICHERMOT.NS,7.8,7-10%,3.31
2019-03-05,WHIRLPOOL.NS,7.72,7-10%,1.14
2019-03-05,MUTHOOTFIN.NS,7.32,7-10%,2.03
2019-03-05,IDFCFIRSTB.NS,7.47,7-10%,2.07
2019-03-05,PNB.NS,7.83,7-10%,1.92
2019-03-05,JPPOWER.NS,7.89,7-10%,1.56
2019-03-05,HEIDELBERG.NS,7.79,7-10%,2.94
2019-03-05,NCLIND.NS,9.45,7-10%,3.42
2019-03-05,NAVINFLUOR.NS,7.3,7-10%,2.64
2019-03-06,INDIANB.NS,7.59,7-10%,2.92
2019-03-06,JPPOWER.NS,9.76,7-10%,3.28
2019-03-07,JPPOWER.NS,8.89,7-10%,4.76
2019-03-07,NCLIND.NS,10.13,10-15%,3.42
2019-03-11,BHARTIARTL.NS,8.13,7-10%,2.24
2019-03-11,GODFRYPHLP.NS,9.22,7-10%,4.94
2019-03-12,ADANIGREEN.NS,8.16,7-10%,4.81
2019-03-12,ESCORTS.NS,7.76,7-10%,3.06
2019-03-12,GUJGASLTD.NS,8.04,7-10%,2.97
2019-03-18,PRESTIGE.NS,15.84,15%+,5.97
2019-03-18,BRIGADE.NS,7.92,7-10%,6.17
2019-03-20,GODREJPROP.NS,7.86,7-10%,4.61
2019-03-20,NEWGEN.NS,10.52,10-15%,13.92
2019-03-27,ICICIPRULI.NS,9.04,7-10%,5.75
2019-03-28,BANKBARODA.NS,7.03,7-10%,2.22
2019-03-28,BAJAJHLDNG.NS,9.77,7-10%,5.85
2019-04-01,ADANIENT.NS,9.91,7-10%,1.59
2019-04-01,ADANIGREEN.NS,7.95,7-10%,0.9
2019-04-01,APOLLOHOSP.NS,7.32,7-10%,1.24
2019-04-01,WELCORP.NS,11.5,10-15%,3.59
2019-04-01,VBL.NS,10.29,10-15%,1.13
2019-04-02,GODREJPROP.NS,9.75,7-10%,6.14
2019-04-02,IIFL.NS,7.04,7-10%,0.68
2019-04-05,JPPOWER.NS,10.0,10-15%,1.51
2019-04-08,TANLA.NS,9.72,7-10%,6.56
2019-04-10,TANLA.NS,9.89,7-10%,6.26
2019-04-11,PATANJALI.NS,8.59,7-10%,5.84
2019-04-16,ADANIGREEN.NS,18.83,15%+,10.41
2019-04-18,JPPOWER.NS,9.09,7-10%,2.73
2019-04-22,JPPOWER.NS,8.33,7-10%,1.62
2019-04-23,JPPOWER.NS,9.62,7-10%,0.6
2019-05-02,AJANTPHARM.NS,8.33,7-10%,7.22
2019-05-02,PATANJALI.NS,9.4,7-10%,0.45
2019-05-03,PATANJALI.NS,7.98,7-10%,1.94
2019-05-03,RPOWER.NS,20.56,15%+,2.78
2019-05-14,IIFL.NS,8.35,7-10%,2.07
2019-05-16,TATACONSUM.NS,10.82,10-15%,7.1
2019-05-20,SBIN.NS,7.97,7-10%,2.24
2019-05-20,INDUSINDBK.NS,8.82,7-10%,1.45
2019-05-20,GRASIM.NS,7.4,7-10%,1.23
2019-05-20,ADANIPORTS.NS,8.99,7-10%,3.88
2019-05-20,ADANIENT.NS,27.37,15%+,6.91
2019-05-20,ADANIGREEN.NS,15.24,15%+,2.23
2019-05-20,TATAPOWER.NS,7.08,7-10%,2.01
2019-05-20,MOTHERSON.NS,8.45,7-10%,1.41
2019-05-20,OBEROIRLTY.NS,7.8,7-10%,3.22
2019-05-20,BEL.NS,7.99,7-10%,2.26
2019-05-20,CUMMINSIND.NS,7.92,7-10%,3.28
2019-05-20,BANKBARODA.NS,9.49,7-10%,1.65
2019-05-20,CANBK.NS,8.23,7-10%,1.41
2019-05-20,INDIANB.NS,7.96,7-10%,1.05
2019-05-20,M&MFIN.NS,7.68,7-10%,1.24
2019-05-20,INOXWIND.NS,7.52,7-10%,4.57
2019-05-20,JINDALSAW.NS,9.33,7-10%,1.61
2019-05-20,SOBHA.NS,7.33,7-10%,2.79
2019-05-20,CESC.NS,9.56,7-10%,2.09
2019-05-20,RPOWER.NS,17.5,15%+,1.17
2019-05-20,HEIDELBERG.NS,8.3,7-10%,2.9
2019-05-20,BIRLACORPN.NS,9.08,7-10%,0.96
2019-05-20,JKCEMENT.NS,8.4,7-10%,1.54
2019-05-20,JKLAKSHMI.NS,7.26,7-10%,2.92
2019-05-22,RPOWER.NS,11.51,10-15%,1.42
2019-05-24,BEL.NS,8.91,7-10%,3.43
2019-05-24,IDFCFIRSTB.NS,7.13,7-10%,1.49
2019-05-24,BANKBARODA.NS,7.68,7-10%,2.15
2019-05-24,UNIONBANK.NS,7.53,7-10%,1.25
2019-05-24,MANAPPURAM.NS,8.05,7-10%,2.5
2019-05-27,ABB.NS,7.77,7-10%,3.0
2019-05-27,HONAUT.NS,8.11,7-10%,5.59
2019-05-27,SUPRAJIT.NS,9.47,7-10%,6.31
2019-05-27,KOLTEPATIL.NS,7.15,7-10%,4.63
2019-05-27,BIRLACORPN.NS,7.16,7-10%,1.09
2019-05-27,NCLIND.NS,7.84,7-10%,4.41
2019-05-28,RPOWER.NS,8.0,7-10%,1.51
2019-05-28,NHPC.NS,7.42,7-10%,6.75
2019-05-31,BERGEPAINT.NS,9.9,7-10%,7.58
2019-06-03,APOLLOHOSP.NS,9.57,7-10%,6.66
2019-06-07,GMMPFAUDLR.NS,7.25,7-10%,3.63
2019-06-17,APOLLOTYRE.NS,8.23,7-10%,9.14
2019-06-20,RPOWER.NS,25.0,15%+,1.12
2019-06-25,MANAPPURAM.NS,7.58,7-10%,1.77
2019-06-25,EMAMILTD.NS,8.64,7-10%,6.29
2019-06-25,TORNTPOWER.NS,12.23,10-15%,7.27
2019-06-26,EMAMILTD.NS,9.54,7-10%,2.99
2019-06-26,RPOWER.NS,11.25,10-15%,1.29
2019-07-01,GODREJPROP.NS,9.37,7-10%,3.76
2019-07-02,ADANIGREEN.NS,10.33,10-15%,7.43
2019-07-04,IIFL.NS,8.68,7-10%,2.9
2019-07-04,MSTCLTD.NS,8.67,7-10%,5.02
2019-07-09,ADANIGREEN.NS,10.59,10-15%,3.19
2019-07-09,OBEROIRLTY.NS,7.12,7-10%,1.89
2019-07-09,PRESTIGE.NS,7.37,7-10%,1.21
2019-07-10,KOLTEPATIL.NS,8.28,7-10%,7.39
2019-07-11,TATACOMM.NS,8.98,7-10%,1.94
2019-07-15,INFY.NS,7.24,7-10%,4.16
2019-07-24,TORNTPHARM.NS,9.48,7-10%,6.34
2019-07-25,NEWGEN.NS,8.4,7-10%,4.42
2019-07-26,BAJFINANCE.NS,7.16,7-10%,2.5
2019-07-26,IDFCFIRSTB.NS,8.73,7-10%,2.94
2019-07-31,RPOWER.NS,14.52,10-15%,1.69
2019-07-31,BIRLACORPN.NS,8.12,7-10%,1.3
2019-08-01,AJANTPHARM.NS,8.41,7-10%,5.93
2019-08-02,RPOWER.NS,7.14,7-10%,2.11
2019-08-06,IIFL.NS,9.27,7-10%,0.56
2019-08-06,KOLTEPATIL.NS,12.41,10-15%,7.83
2019-08-08,AUROPHARMA.NS,7.81,7-10%,4.14
2019-08-08,IFBIND.NS,10.13,10-15%,3.8
2019-08-09,MOTHERSON.NS,9.15,7-10%,4.2
2019-08-13,RELIANCE.NS,9.69,7-10%,4.16
2019-08-13,GODFRYPHLP.NS,19.99,15%+,7.16
2019-08-16,APOLLOHOSP.NS,8.12,7-10%,5.15
2019-08-16,SUPRAJIT.NS,15.95,15%+,0.86
2019-08-16,GODFRYPHLP.NS,16.26,15%+,7.37
2019-08-20,MGL.NS,7.83,7-10%,8.93
2019-08-21,NAVINFLUOR.NS,7.39,7-10%,5.85
2019-08-23,BEL.NS,7.07,7-10%,1.33
2019-08-23,TATAELXSI.NS,7.0,7-10%,1.95
2019-08-23,RPOWER.NS,7.14,7-10%,1.26
2019-08-26,INDIANB.NS,10.27,10-15%,1.66
2019-08-26,INOXWIND.NS,8.06,7-10%,0.71
2019-08-26,RADICO.NS,8.33,7-10%,2.01
2019-08-26,KOLTEPATIL.NS,8.66,7-10%,0.99
2019-08-27,PHOENIXLTD.NS,9.37,7-10%,0.56
2019-08-27,HDFCAMC.NS,7.51,7-10%,2.96
2019-08-27,MSTCLTD.NS,12.97,10-15%,10.59
2019-08-28,OBEROIRLTY.NS,9.59,7-10%,2.39
2019-08-28,BRIGADE.NS,8.19,7-10%,3.43
2019-08-30,METROPOLIS.NS,8.41,7-10%,3.18
2019-08-30,RPOWER.NS,10.17,10-15%,0.99
2019-09-03,RPOWER.NS,7.69,7-10%,1.2
2019-09-04,IFBIND.NS,8.3,7-10%,1.68
2019-09-05,HINDCOPPER.NS,7.31,7-10%,2.88
2019-09-05,JPPOWER.NS,10.0,7-10%,1.48
2019-09-09,HONAUT.NS,8.11,7-10%,0.94
2019-09-09,RBLBANK.NS,7.12,7-10%,1.68
2019-09-09,METROPOLIS.NS,9.18,7-10%,1.92
2019-09-09,MSTCLTD.NS,8.15,7-10%,0.94
2019-09-11,OBEROIRLTY.NS,9.88,7-10%,1.34
2019-09-11,JINDALSAW.NS,8.86,7-10%,2.33
2019-09-11,KOLTEPATIL.NS,12.38,10-15%,5.91
2019-09-11,JPPOWER.NS,8.82,7-10%,4.39
2019-09-13,HINDCOPPER.NS,14.16,10-15%,6.04
2019-09-16,ADANIGREEN.NS,10.55,10-15%,7.14
2019-09-16,INOXWIND.NS,9.9,7-10%,0.88
2019-09-16,JYOTHYLAB.NS,7.65,7-10%,3.75
2019-09-18,PRESTIGE.NS,7.11,7-10%,2.73
2019-09-18,JPPOWER.NS,8.82,7-10%,3.05
2019-09-20,HDFCBANK.NS,8.95,7-10%,2.75
2019-09-20,ICICIBANK.NS,7.99,7-10%,3.19
2019-09-20,HINDUNILVR.NS,8.66,7-10%,2.92
2019-09-20,SBIN.NS,10.09,10-15%,2.74
2019-09-20,LT.NS,8.52,7-10%,3.05
2019-09-20,ASIANPAINT.NS,7.54,7-10%,3.05
2019-09-20,MARUTI.NS,10.39,10-15%,2.85
2019-09-20,ULTRACEMCO.NS,10.43,10-15%,2.54
2019-09-20,TITAN.NS,9.57,7-10%,3.33
2019-09-20,BAJFINANCE.NS,10.12,10-15%,2.91
2019-09-20,BAJAJFINSV.NS,7.02,7-10%,2.39
2019-09-20,ONGC.NS,7.48,7-10%,2.08
