date,ticker,bucket,day_return,entry,open_ret,high_ret,low_ret,close_ret,target_hit,stop_hit,gap_seq,outcome,clv,intraday_score,structure,event_type,pre_range_5d,vol_event,vol_5d_ratio,pre_5d,d52w_high
2018-03-05,PHOENIXLTD.NS,7-10%,7.43,320.0151062011719,0.291819460766046,11.350029263484496,-4.768849261282375,0.19198465038281065,True,True,gap_up_intraday,target_intraday,0.835,2,weak,,,,,,
2018-03-08,TRENT.NS,7-10%,7.35,329.636474609375,2.3870272606304357,3.5580207544592852,-0.9007709749870068,-0.030023530004273467,True,False,gap_up_intraday,target_intraday,0.776,1,weak,,,,,,
2018-03-12,JPPOWER.NS,15%+,19.42,6.150000095367432,0.8130034654043017,17.88617703373952,-1.6260146842582102,10.569107077852776,True,False,gap_up_intraday,target_intraday,1.0,3,mixed,,,,,,
2018-03-13,BANKBARODA.NS,7-10%,7.15,121.5547332763672,-1.6955228577536958,4.344747472354432,-3.0024750006627072,2.9671446061370723,True,True,gap_down_intraday,stop_intraday,0.792,2,weak,,,,,,
2018-03-13,JPPOWER.NS,10-15%,10.57,6.800000190734863,0.0,0.7352898896360429,-5.8823541786431095,-2.9411805954770314,False,True,gap_down_intraday,stop_intraday,0.625,1,weak,,,,,,
2018-03-15,HINDCOPPER.NS,10-15%,12.78,70.70832824707031,-0.2023071076560301,2.0229137781758983,-3.708710475776299,-3.3041314078016963,False,True,gap_down_intraday,stop_intraday,0.841,2,weak,,,,,,
2018-03-16,PATANJALI.NS,10-15%,10.15,599.9871215820312,2.1680094761254822,2.439015470694147,-5.14906305749552,-4.065049003635638,False,True,gap_up_intraday,stop_intraday,0.519,1,weak,,,,,,
2018-03-26,ADANIENT.NS,7-10%,7.41,87.81611633300781,1.312972738814586,2.412206487716827,-3.14504694932345,-2.351151158178018,False,True,gap_up_intraday,stop_intraday,0.839,2,weak,,,,,,
2018-03-26,CANBK.NS,10-15%,10.52,45.788482666015625,2.033266533614032,2.4584042921512466,-2.033278051832115,-0.6284753301959415,False,True,gap_up_intraday,stop_intraday,0.867,2,weak,,,,,,
2018-03-26,CESC.NS,7-10%,8.28,61.87444305419922,0.057606504836020374,3.043621297649359,-1.7759116628208764,1.969702368937536,True,False,gap_up_intraday,target_intraday,0.905,3,mixed,,,,,,
2018-03-27,SOBHA.NS,7-10%,7.81,474.9990234375,-1.113935779094422,0.058626247240425255,-3.52746047609209,-0.7230817703161396,False,True,gap_down_intraday,stop_intraday,0.875,2,weak,,,,,,
2018-03-27,BIRLACORPN.NS,7-10%,7.08,685.7525634765625,-0.5314157682765799,-0.25208784573010456,-3.5222878752662177,-2.616166623796101,False,True,gap_down_intraday,stop_intraday,0.875,2,weak,,,,,,
2018-04-02,TATACONSUM.NS,7-10%,7.03,257.08428955078125,-0.3430450423469944,0.21661823181532788,-1.8956671068482585,-0.7763405585236139,False,False,gap_down_intraday,neither,0.924,3,mixed,,,,,,
2018-04-02,ESCORTS.NS,7-10%,7.87,846.598388671875,-0.3512749435770563,1.257784632107637,-1.0764901533631204,0.3229404668902752,False,False,gap_down_intraday,neither,0.939,3,mixed,,,,,,
2018-04-02,TANLA.NS,7-10%,9.49,30.579753875732425,1.195806310769548,8.370698497074121,-1.4508300510073078e-06,7.772788914185948,True,False,gap_up_intraday,target_intraday,0.917,3,mixed,,,,,,
2018-04-02,ELGIEQUIP.NS,7-10%,8.79,132.39710998535156,1.4928105441104207,8.137631324128401,-0.20025115837267615,4.241759353732382,True,False,gap_up_intraday,target_intraday,0.837,1,weak,,,,,,
2018-04-02,RADICO.NS,7-10%,7.57,349.5106506347656,0.1678618713454441,0.9233212283422441,-2.0425445459939864,-1.2730986796638193,False,True,gap_up_intraday,stop_intraday,0.846,2,weak,,,,,,
2018-04-02,BRIGADE.NS,7-10%,7.27,169.08688354492188,6.929306854180386e-07,3.149901114245147,-1.024668953433548,0.5313105582226166,True,False,gap_up_intraday,target_intraday,0.795,2,weak,,,,,,
2018-04-03,TANLA.NS,7-10%,7.77,32.9566535949707,1.5256541531058174,5.409153515290307,-0.8321779428518855,0.5547846034019305,True,False,gap_up_intraday,target_intraday,0.929,5,strong,,,,,,
2018-04-04,RPOWER.NS,10-15%,11.56,42.45000076293945,0.5889281401810008,2.237928729953856,-1.531216759002708,0.4711443094108535,False,False,gap_up_intraday,neither,0.75,3,mixed,,,,,,
2018-04-05,ADANIENT.NS,10-15%,14.95,93.36306762695312,0.2705461285160254,4.599258955365635,-0.10145080791665811,1.2850890769553112,True,False,gap_up_intraday,target_intraday,0.809,2,weak,,,,,,
2018-04-05,CANBK.NS,7-10%,7.85,47.92132568359375,0.5298420808927413,2.24301974555332,-2.0487503667851894,0.989047536563403,False,True,gap_up_intraday,stop_intraday,0.699,3,mixed,,,,,,
2018-04-06,SOBHA.NS,7-10%,7.74,508.9739074707031,0.29181942716935166,1.221962740206693,-0.6018564082654847,0.5927429076420593,False,False,gap_up_intraday,neither,0.394,2,weak,,,,,,
2018-04-19,HINDALCO.NS,7-10%,9.04,251.16085815429688,-3.3238866857616087,-0.4721384565862986,-3.966000768831364,-1.0009369335916876,False,True,gap_below_stop,stop_at_open,0.837,4,mixed,,,,,,
2018-04-19,VEDL.NS,7-10%,7.08,119.88308715820312,-2.0051427423321906,-0.6256152480066027,-2.7911587413914605,-0.9945577368901637,False,True,gap_below_stop,stop_at_open,0.893,5,strong,,,,,,
2018-04-19,NATIONALUM.NS,7-10%,8.86,55.2164192199707,-2.5787636971389816,-0.6876438318127431,-6.131771742854963,-1.3753213980328234,False,True,gap_below_stop,stop_at_open,0.585,3,mixed,,,,,,
