date,ticker,day_return,bucket,volume_ratio,fwd_1d,fwd_3d,fwd_5d,label_1d,label_3d,label_5d,pre_1d,pre_5d,pre_20d,pre_60d,atr_5,atr_20,atr_ratio,pre_range_5d,vol_event,vol_5d_ratio,vol_trend,vol_surprise,d52w_high,d52w_low,consolidation_days,price_vs_ma20,price_vs_ma50,ma20_slope
2018-10-10,BAJAJFINSV.NS,9.81,7-10%,1.73,-6.2,-5.49,-9.75,reversal,reversal,reversal,0.62,-5.62,-17.74,-11.21,30.866,29.372,1.051,5.57,1.86,0.91,-1.387,2.04,24.6,13.14,2.0,-11.0,-17.78,-3.465
2018-10-10,BAJFINANCE.NS,10.19,10-15%,1.84,-4.79,1.55,-5.3,reversal,flat,reversal,4.35,-7.68,-24.9,-12.51,17.071,14.735,1.159,8.24,1.99,1.31,3.538,1.52,31.17,29.49,0.0,-12.69,-21.35,-5.283
2018-10-10,RAYMOND.NS,8.54,7-10%,1.17,-3.02,3.25,-1.83,reversal,continuation,flat,-5.13,-9.99,-25.68,-33.34,36.51,33.62,1.086,5.54,1.19,1.17,2.456,1.01,47.77,1.26,0.0,-17.13,-22.54,-4.478
2018-10-11,HINDCOPPER.NS,9.16,7-10%,3.34,-0.68,1.06,-7.52,flat,flat,reversal,4.86,-6.22,-18.68,-21.42,2.547,2.768,0.92,5.5,3.87,0.89,-1.302,4.37,41.87,5.44,0.0,-12.49,-18.91,-4.602
2018-10-12,JYOTHYLAB.NS,8.13,7-10%,2.44,-3.81,-6.91,-10.91,reversal,reversal,reversal,-1.17,-2.85,-5.72,-12.37,7.112,8.363,0.85,4.16,2.71,1.77,26.647,1.53,22.47,11.73,4.0,-4.1,-9.07,-1.909
2018-10-12,RPOWER.NS,8.49,7-10%,1.41,0.89,-2.67,-3.2,flat,reversal,reversal,-1.89,-0.19,-26.42,-16.72,2.16,1.927,1.121,8.42,1.46,1.02,-3.268,1.44,42.83,12.12,1.0,-10.04,-19.12,-6.813
2018-10-12,WELCORP.NS,9.81,7-10%,0.86,-1.14,-7.39,-14.15,flat,reversal,reversal,-4.32,8.53,-19.56,16.77,10.256,10.213,1.004,8.48,0.86,1.01,-6.821,0.85,27.0,32.51,0.0,-8.63,-7.42,-5.288
2018-10-12,CHOLAFIN.NS,7.16,7-10%,1.03,0.39,-4.9,-3.52,flat,reversal,reversal,-4.75,-0.13,-15.35,-29.55,19.011,16.398,1.159,7.9,1.03,1.04,-1.454,0.99,36.87,6.91,0.0,-8.6,-18.19,-5.003
2018-10-12,DCBBANK.NS,7.03,7-10%,1.02,0.0,-1.39,-3.82,flat,flat,reversal,0.6,3.91,-9.98,-15.45,7.828,7.715,1.015,5.6,1.0,0.82,-10.415,1.23,25.6,8.4,1.0,-1.89,-7.15,-2.727
2018-10-12,INOXWIND.NS,8.75,7-10%,1.18,4.57,1.39,-1.45,continuation,flat,flat,-1.61,-0.31,-16.55,-2.7,1.91,1.666,1.146,9.75,1.22,0.81,-2.248,1.5,43.47,9.29,1.0,-11.61,-16.46,-4.238
