date,ticker,day_return,bucket,volume_ratio,fwd_1d,fwd_3d,fwd_5d,label_1d,label_3d,label_5d,pre_1d,pre_5d,pre_20d,pre_60d,atr_5,atr_20,atr_ratio_x,pre_range_5d,vol_event,vol_5d_ratio,vol_trend,vol_surprise,d52w_high,d52w_low,consolidation_days,price_vs_ma20,price_vs_ma50,ma20_slope,event_type,kmeans_cluster,entry_price,trader_ret_3d,trader_ret_5d,trader_label_3d,trader_label_5d,clv,imom,atr_ratio_y,structure,intraday_score,event_gap,intraday_move,is_intraday_squeeze,atr_ratio_event,vol_ratio_event,vol_sweet_spot,consec_up_days,is_early_move,body_ratio,upper_wick_ratio,lower_wick_ratio,target_hit,stop_hit
2018-03-27,SOBHA.NS,7.81,7-10%,,-0.72,-0.2,-0.55,flat,flat,flat,,,,,,,,,,,,,,,,,,,E_Mixed,3,471.56439208984375,0.53,0.18,flat,flat,0.875,0.795,,weak,2,,,,,,,,,,,,False,True
2018-03-27,BIRLACORPN.NS,7.08,7-10%,,-2.62,3.08,7.69,reversal,continuation,continuation,,,,,,,,,,,,,,,,,,,E_Mixed,3,667.8121337890625,5.85,10.58,profit,profit,0.875,0.875,,weak,2,,,,,,,,,,,,False,True
2018-04-02,TANLA.NS,9.49,7-10%,1.02,7.77,10.61,16.89,continuation,continuation,continuation,,,,,,,,,,,,,,,,,,,E_Mixed,3,32.9566535949707,2.64,8.46,profit,profit,0.917,0.917,,mixed,3,,,,,,,,,,,,True,False
2018-04-02,ESCORTS.NS,7.87,7-10%,3.1,0.32,1.07,2.53,flat,flat,flat,,,,,,,,,,,,,,,,,,,E_Mixed,3,849.3323974609375,0.75,2.2,flat,profit,0.939,0.896,,mixed,3,,,,,,,,,,,,False,False
2018-04-02,TATACONSUM.NS,7.03,7-10%,2.13,-0.78,-1.43,0.31,flat,flat,flat,,,,,,,,,,,,,,,,,,,E_Mixed,3,255.08843994140625,-0.66,1.09,flat,profit,0.924,0.924,,mixed,3,,,,,,,,,,,,False,False
2018-04-02,BRIGADE.NS,7.27,7-10%,0.48,0.53,-1.61,-0.97,flat,flat,flat,,,,,,,,,,,,,,,,,,,E_Mixed,3,169.98526000976562,-2.13,-1.49,loss,loss,0.795,0.795,,weak,2,,,,,,,,,,,,True,False
2018-04-02,RADICO.NS,7.57,7-10%,1.21,-1.27,2.21,3.74,flat,flat,continuation,,,,,,,,,,,,,,,,,,,E_Mixed,3,345.06103515625,3.53,5.07,profit,profit,0.846,0.831,,weak,2,,,,,,,,,,,,False,True
2018-04-02,ELGIEQUIP.NS,8.79,7-10%,1.39,4.24,2.08,2.86,continuation,flat,flat,,,,,,,,,,,,,,,,,,,E_Mixed,3,138.01307678222656,-2.08,-1.33,loss,loss,0.837,0.612,,weak,1,,,,,,,,,,,,True,False
2018-04-03,TANLA.NS,7.77,7-10%,2.08,0.55,7.91,2.5,flat,continuation,flat,,,,,,,,,,,,,,,,,,,E_Mixed,3,33.13949203491211,7.31,1.93,profit,profit,0.929,0.786,1.47,strong,5,1.2,6.5,1.0,1.47,2.05,1.0,1.0,1.0,0.786,0.071,0.143,True,False
2018-04-04,RPOWER.NS,11.56,10-15%,5.58,0.47,-1.88,-2.94,flat,flat,reversal,,,,,,,,,,,,,,,,,,,E_Mixed,3,42.650001525878906,-2.34,-3.4,loss,loss,0.75,0.741,3.48,mixed,3,0.26,11.27,1.0,3.48,7.37,0.0,2.0,1.0,0.741,0.25,0.009,False,False
2018-04-05,ADANIENT.NS,14.95,10-15%,1.6,1.29,-0.07,-7.95,flat,flat,reversal,,,,,,,,,,,,,,,,,,,E_Mixed,3,94.5628662109375,-1.34,-9.12,loss,loss,0.809,0.556,2.81,weak,2,3.41,11.17,0.0,2.81,1.69,1.0,0.0,1.0,0.556,0.191,0.253,True,False
2018-04-05,CANBK.NS,7.85,7-10%,0.8,0.99,1.5,-1.8,flat,flat,flat,,,,,,,,,,,,,,,,,,,E_Mixed,3,48.39529037475586,0.51,-2.76,flat,loss,0.699,0.658,1.6,mixed,3,1.71,6.03,1.0,1.6,0.82,0.0,0.0,1.0,0.658,0.301,0.041,False,True
2018-04-06,SOBHA.NS,7.74,7-10%,7.11,0.59,-0.18,0.27,flat,flat,flat,,,,,,,,,,,,,,,,,,,E_Mixed,3,511.9908142089844,-0.77,-0.32,flat,flat,0.394,-0.066,1.23,weak,2,8.08,-0.31,0.0,1.23,10.56,0.0,1.0,1.0,0.066,0.541,0.394,False,False
2018-04-19,HINDALCO.NS,9.04,7-10%,2.23,-1.0,-10.58,-11.61,flat,reversal,reversal,,,,,,,,,,,,,,,,,,,E_Mixed,3,248.6468963623047,-9.67,-10.72,loss,loss,0.837,0.789,2.29,mixed,4,2.97,5.9,0.0,2.29,2.43,1.0,1.0,1.0,0.789,0.163,0.048,False,True
2018-04-19,VEDL.NS,7.08,7-10%,2.38,-0.99,-4.59,-6.87,flat,reversal,reversal,,,,,,,,,,,,,,,,,,,E_Mixed,3,118.69078063964844,-3.63,-5.93,loss,loss,0.893,0.893,1.62,strong,5,1.94,5.04,1.0,1.62,2.54,1.0,1.0,1.0,0.893,0.107,0.0,False,True
2018-04-19,NATIONALUM.NS,8.86,7-10%,4.95,-1.38,-9.91,-8.94,flat,reversal,reversal,,,,,,,,,,,,,,,,,,,E_Mixed,3,54.45701599121094,-8.66,-7.67,loss,loss,0.585,0.472,2.53,mixed,3,4.68,3.99,0.0,2.53,6.41,0.0,7.0,0.0,0.472,0.415,0.113,False,True
2018-04-19,HINDCOPPER.NS,11.76,10-15%,7.62,-3.45,-6.45,-6.7,reversal,reversal,reversal,,,,,,,,,,,,,,,,,,,E_Mixed,3,73.47372436523438,-3.11,-3.37,loss,loss,0.762,0.73,3.4,mixed,3,2.1,9.47,0.0,3.4,11.75,0.0,0.0,1.0,0.73,0.238,0.032,False,True
2018-04-19,RADICO.NS,10.22,10-15%,2.94,3.62,2.81,-1.16,continuation,flat,flat,,,,,,,,,,,,,,,,,,,E_Mixed,3,426.8645324707031,-0.78,-4.62,flat,loss,0.878,0.847,3.0,mixed,3,0.35,9.83,1.0,3.0,3.34,1.0,0.0,1.0,0.847,0.122,0.03,True,False
2018-04-23,OBEROIRLTY.NS,10.72,10-15%,5.02,-1.75,-4.57,-4.79,flat,reversal,reversal,,,,,,,,,,,,,,,,,,,E_Mixed,3,550.198974609375,-2.87,-3.09,loss,loss,0.775,0.775,3.49,mixed,3,0.89,9.75,1.0,3.49,6.25,0.0,2.0,1.0,0.775,0.225,0.0,True,True
2018-04-24,ICICIPRULI.NS,7.66,7-10%,8.86,4.83,3.6,3.81,continuation,continuation,continuation,,,,,,,,,,,,,,,,,,,E_Mixed,3,425.3947448730469,-1.17,-0.97,loss,flat,0.741,0.557,4.72,weak,2,0.01,7.65,1.0,4.72,14.93,0.0,1.0,1.0,0.557,0.259,0.184,True,False
2018-04-25,COFORGE.NS,9.16,7-10%,3.39,5.74,6.86,-2.52,continuation,continuation,reversal,,,,,,,,,,,,,,,,,,,E_Mixed,3,209.32530212402344,1.06,-7.81,profit,loss,0.873,0.855,3.1,mixed,3,-0.62,9.85,1.0,3.1,3.8,1.0,0.0,1.0,0.855,0.127,0.018,True,True
2018-04-25,ELGIEQUIP.NS,7.84,7-10%,1.08,0.43,2.01,0.63,flat,flat,flat,,,,,,,,,,,,,,,,,,,E_Mixed,3,135.19308471679688,1.57,0.2,profit,flat,0.848,0.846,1.59,mixed,3,0.31,7.51,1.0,1.59,1.11,0.0,0.0,1.0,0.846,0.152,0.002,True,False
2018-04-25,BRIGADE.NS,8.11,7-10%,9.71,-3.19,0.45,-1.85,reversal,flat,flat,,,,,,,,,,,,,,,,,,,E_Mixed,3,174.220458984375,3.76,1.38,profit,profit,0.451,0.357,5.63,weak,2,0.96,7.08,1.0,5.63,18.7,0.0,1.0,1.0,0.357,0.549,0.094,False,True
