date,ticker,day_return,bucket,volume_ratio,fwd_1d,fwd_3d,fwd_5d,label_1d,label_3d,label_5d
2018-03-05,PHOENIXLTD.NS,7.43,7-10%,,0.19,7.69,4.46,flat,continuation,continuation
2018-03-08,TRENT.NS,7.35,7-10%,,-0.03,4.98,5.19,flat,continuation,continuation
2018-03-12,JPPOWER.NS,19.42,15%+,,10.57,2.44,-8.94,continuation,flat,reversal
2018-03-13,BANKBARODA.NS,7.15,7-10%,,2.97,1.59,-4.03,flat,flat,reversal
2018-03-13,JPPOWER.NS,10.57,10-15%,,-2.94,-9.56,-23.53,reversal,reversal,reversal
2018-03-15,HINDCOPPER.NS,12.78,10-15%,,-3.3,-9.51,-10.86,reversal,reversal,reversal
2018-03-16,PATANJALI.NS,10.15,10-15%,,-4.07,-2.17,-8.94,reversal,reversal,reversal
2018-03-26,ADANIENT.NS,7.41,7-10%,,-2.35,-1.74,-7.51,reversal,flat,reversal
2018-03-26,CANBK.NS,10.52,10-15%,,-0.63,-2.29,-2.96,flat,reversal,reversal
2018-03-26,CESC.NS,8.28,7-10%,,1.97,3.46,2.36,flat,continuation,flat
2018-03-27,SOBHA.NS,7.81,7-10%,,-0.72,-0.2,-0.55,flat,flat,flat
2018-03-27,BIRLACORPN.NS,7.08,7-10%,,-2.62,3.08,7.69,reversal,continuation,continuation
2018-04-02,TATACONSUM.NS,7.03,7-10%,2.13,-0.78,-1.43,0.31,flat,flat,flat
2018-04-02,ESCORTS.NS,7.87,7-10%,3.1,0.32,1.07,2.53,flat,flat,flat
2018-04-02,TANLA.NS,9.49,7-10%,1.02,7.77,10.61,16.89,continuation,continuation,continuation
2018-04-02,ELGIEQUIP.NS,8.79,7-10%,1.39,4.24,2.08,2.86,continuation,flat,flat
2018-04-02,RADICO.NS,7.57,7-10%,1.21,-1.27,2.21,3.74,flat,flat,continuation
2018-04-02,BRIGADE.NS,7.27,7-10%,0.48,0.53,-1.61,-0.97,flat,flat,flat
2018-04-03,TANLA.NS,7.77,7-10%,2.08,0.55,7.91,2.5,flat,continuation,flat
2018-04-04,RPOWER.NS,11.56,10-15%,5.58,0.47,-1.88,-2.94,flat,flat,reversal
2018-04-05,ADANIENT.NS,14.95,10-15%,1.6,1.29,-0.07,-7.95,flat,flat,reversal
2018-04-05,CANBK.NS,7.85,7-10%,0.8,0.99,1.5,-1.8,flat,flat,flat
2018-04-06,SOBHA.NS,7.74,7-10%,7.11,0.59,-0.18,0.27,flat,flat,flat
2018-04-19,HINDALCO.NS,9.04,7-10%,2.23,-1.0,-10.58,-11.61,flat,reversal,reversal
2018-04-19,VEDL.NS,7.08,7-10%,2.38,-0.99,-4.59,-6.87,flat,reversal,reversal
2018-04-19,NATIONALUM.NS,8.86,7-10%,4.95,-1.38,-9.91,-8.94,flat,reversal,reversal
2018-04-19,HINDCOPPER.NS,11.76,10-15%,7.62,-3.45,-6.45,-6.7,reversal,reversal,reversal
2018-04-19,RADICO.NS,10.22,10-15%,2.94,3.62,2.81,-1.16,continuation,flat,flat
2018-04-23,OBEROIRLTY.NS,10.72,10-15%,5.02,-1.75,-4.57,-4.79,flat,reversal,reversal
2018-04-24,ICICIPRULI.NS,7.66,7-10%,8.86,4.83,3.6,3.81,continuation,continuation,continuation
2018-04-25,COFORGE.NS,9.16,7-10%,3.39,5.74,6.86,-2.52,continuation,continuation,reversal
2018-04-25,ELGIEQUIP.NS,7.84,7-10%,1.08,0.43,2.01,0.63,flat,flat,flat
2018-04-25,BRIGADE.NS,8.11,7-10%,9.71,-3.19,0.45,-1.85,reversal,flat,flat
2018-04-27,AXISBANK.NS,9.21,7-10%,5.66,-4.06,-1.08,-0.57,reversal,flat,flat
2018-05-07,IFBIND.NS,7.87,7-10%,7.61,1.14,3.91,1.06,flat,continuation,flat
2018-05-07,JPPOWER.NS,18.06,15%+,1.97,-2.35,-8.24,-11.76,reversal,reversal,reversal
2018-05-11,MAHLIFE.NS,11.02,10-15%,8.63,-0.45,0.77,1.45,flat,flat,flat
2018-05-15,MPHASIS.NS,9.55,7-10%,1.1,1.93,4.58,-1.34,flat,continuation,flat
2018-05-15,LALPATHLAB.NS,9.99,7-10%,12.24,0.23,-2.29,-1.44,flat,reversal,flat
2018-05-17,BAJFINANCE.NS,7.63,7-10%,5.63,4.02,4.01,1.37,continuation,continuation,flat
2018-05-17,JYOTHYLAB.NS,20.0,15%+,14.52,-6.68,-8.05,-11.42,reversal,reversal,reversal
2018-05-17,RADICO.NS,7.76,7-10%,1.57,-6.88,-2.88,-1.94,reversal,reversal,flat
2018-05-17,PATANJALI.NS,7.73,7-10%,0.71,-3.35,2.39,22.01,reversal,flat,continuation
2018-05-17,PETRONET.NS,7.63,7-10%,4.38,0.05,-3.5,-3.59,flat,reversal,reversal
2018-05-17,TCI.NS,7.82,7-10%,5.79,-1.97,-6.69,-6.76,flat,reversal,reversal
2018-05-22,PATANJALI.NS,9.74,7-10%,0.52,9.35,15.89,22.9,continuation,continuation,continuation
2018-05-23,PATANJALI.NS,9.35,7-10%,0.67,8.97,3.42,23.5,continuation,continuation,continuation
2018-05-24,PATANJALI.NS,8.97,7-10%,1.3,-2.75,3.14,15.69,reversal,continuation,continuation
2018-05-25,GMMPFAUDLR.NS,8.28,7-10%,1.71,6.39,1.83,-5.81,continuation,flat,reversal
2018-05-28,SUNPHARMA.NS,7.13,7-10%,2.74,-0.04,-3.87,-4.22,flat,reversal,reversal
2018-05-29,RADICO.NS,7.02,7-10%,3.0,1.07,-7.09,-16.14,flat,reversal,reversal
2018-05-29,PATANJALI.NS,8.68,7-10%,1.87,9.89,17.11,13.31,continuation,continuation,continuation
2018-05-30,PATANJALI.NS,9.89,7-10%,1.02,2.08,8.3,-1.73,flat,continuation,flat
2018-05-31,SUNDRMFAST.NS,7.8,7-10%,5.87,-1.9,-6.27,-3.23,flat,reversal,reversal
2018-06-06,WELCORP.NS,8.2,7-10%,2.29,1.59,3.26,2.08,flat,continuation,flat
2018-06-06,JPPOWER.NS,16.13,15%+,2.48,-5.56,-1.39,-6.94,reversal,flat,reversal
2018-06-07,GODREJPROP.NS,8.45,7-10%,3.06,0.29,-2.3,-2.41,flat,reversal,reversal
2018-06-07,PRESTIGE.NS,9.38,7-10%,2.88,1.63,2.39,7.87,flat,flat,continuation
2018-06-07,ORIENTELEC.NS,7.06,7-10%,,-0.27,1.26,-0.08,flat,flat,flat
2018-06-07,IFBIND.NS,12.23,10-15%,1.37,2.41,1.93,1.92,flat,flat,flat
2018-06-07,BRIGADE.NS,7.57,7-10%,0.67,-1.13,1.47,-1.53,flat,flat,flat
2018-06-07,DEEPAKNTR.NS,7.06,7-10%,1.81,-1.65,2.25,0.95,flat,flat,flat
2018-06-08,SUNPHARMA.NS,8.08,7-10%,3.9,1.41,3.42,8.15,flat,continuation,continuation
2018-06-11,GRINDWELL.NS,10.97,10-15%,2.61,-3.22,-3.1,-5.53,reversal,reversal,reversal
2018-06-19,MAHLIFE.NS,12.46,10-15%,11.72,-1.18,-5.45,-11.3,flat,reversal,reversal
2018-06-26,PRESTIGE.NS,7.84,7-10%,2.2,0.7,-3.07,-2.05,flat,reversal,reversal
2018-06-28,IFBIND.NS,10.83,10-15%,2.83,0.23,-0.43,-2.15,flat,flat,reversal
2018-06-29,JINDALSAW.NS,11.67,10-15%,2.24,2.77,1.38,-1.76,flat,flat,flat
2018-06-29,KOLTEPATIL.NS,19.47,15%+,6.65,0.38,1.47,-0.27,flat,flat,flat
2018-07-04,ADANIGREEN.NS,12.33,10-15%,,0.68,4.56,7.94,flat,continuation,continuation
2018-07-06,BEL.NS,8.36,7-10%,3.08,-2.75,-2.26,-6.32,reversal,reversal,reversal
2018-07-09,JINDALSAW.NS,8.26,7-10%,1.78,-0.06,-2.9,-9.82,flat,reversal,reversal
2018-07-09,NCLIND.NS,7.58,7-10%,0.86,1.63,3.72,-6.21,flat,continuation,reversal
2018-07-10,ORIENTELEC.NS,8.36,7-10%,0.87,-2.36,-7.03,-11.6,reversal,reversal,reversal
2018-07-11,ADANIENT.NS,8.76,7-10%,3.24,0.16,7.66,14.59,flat,continuation,continuation
2018-07-17,FEDERALBNK.NS,19.08,15%+,7.5,-2.66,-2.89,-0.68,reversal,reversal,flat
2018-07-17,UNIONBANK.NS,8.47,7-10%,1.78,-5.58,-4.89,0.68,reversal,reversal,flat
2018-07-20,BAJFINANCE.NS,7.98,7-10%,4.42,1.27,-0.6,-0.28,flat,flat,flat
2018-07-20,ADANIENT.NS,7.88,7-10%,2.18,5.06,22.61,20.59,continuation,continuation,continuation
2018-07-20,ADANIGREEN.NS,19.19,15%+,6.09,19.92,44.92,47.88,continuation,continuation,continuation
2018-07-20,CEATLTD.NS,7.56,7-10%,5.38,-2.35,0.11,2.64,reversal,flat,flat
2018-07-23,ADANIGREEN.NS,19.92,15%+,2.55,9.89,24.62,35.57,continuation,continuation,continuation
2018-07-23,HAVELLS.NS,8.86,7-10%,6.65,-1.88,0.77,2.58,flat,flat,flat
2018-07-23,GODFRYPHLP.NS,8.0,7-10%,4.3,-0.44,3.06,5.12,flat,continuation,continuation
2018-07-24,GRASIM.NS,8.48,7-10%,3.41,-1.38,2.59,2.57,flat,flat,flat
2018-07-24,ADANIENT.NS,8.67,7-10%,3.42,7.39,5.62,5.37,continuation,continuation,continuation
2018-07-24,ADANIGREEN.NS,9.89,7-10%,1.33,9.97,12.22,29.47,continuation,continuation,continuation
2018-07-24,WHIRLPOOL.NS,7.18,7-10%,4.39,-1.28,-1.05,2.98,flat,flat,flat
2018-07-24,AMBUJACEM.NS,7.4,7-10%,3.6,-1.98,5.85,8.49,flat,continuation,continuation
2018-07-24,ACC.NS,12.56,10-15%,8.04,-0.4,4.03,3.68,flat,continuation,continuation
2018-07-24,COFORGE.NS,8.07,7-10%,2.62,0.89,2.56,0.66,flat,flat,flat
2018-07-24,ALKEM.NS,7.59,7-10%,6.05,4.64,4.58,4.7,continuation,continuation,continuation
2018-07-24,GMMPFAUDLR.NS,10.68,10-15%,8.98,-1.32,-0.14,0.17,flat,flat,flat
2018-07-24,JINDALSAW.NS,10.58,10-15%,1.52,3.13,5.64,8.4,continuation,continuation,continuation
2018-07-24,NCLIND.NS,8.92,7-10%,0.83,-1.3,4.7,3.43,flat,continuation,continuation
2018-07-25,ADANIENT.NS,7.39,7-10%,3.15,-1.03,-2.83,-2.98,flat,reversal,reversal
2018-07-25,ADANIGREEN.NS,9.97,7-10%,0.74,3.12,12.18,23.59,continuation,continuation,continuation
2018-07-25,NAVINFLUOR.NS,12.75,10-15%,11.49,-3.92,-0.51,-2.01,reversal,flat,reversal
2018-07-26,AMBUJACEM.NS,7.22,7-10%,4.4,0.72,3.22,2.37,flat,continuation,flat
2018-07-26,CANBK.NS,7.7,7-10%,3.42,0.13,2.01,0.3,flat,flat,flat
2018-07-26,ORIENTELEC.NS,7.18,7-10%,2.57,6.9,17.65,14.49,continuation,continuation,continuation
2018-07-26,WELCORP.NS,14.36,10-15%,15.22,-3.68,-2.11,-1.72,reversal,reversal,flat
2018-07-27,INOXWIND.NS,11.57,10-15%,6.91,-0.26,-1.45,3.84,flat,flat,continuation
