date,ticker,day_return,bucket,volume_ratio,fwd_1d,fwd_3d,fwd_5d,label_1d,label_3d,label_5d,clv,imom,gap,atr_ratio,d52w,pre_rng,score_clv,score_imom,score_gap,score_atr,score_d52w,score_prng,intraday_score,structure
2018-05-15,MPHASIS.NS,9.55,7-10%,1.1,1.93,4.58,-1.34,flat,continuation,flat,0.836,0.769,1.37,2.14,4.12,0.9,0,1,1,1,1,0,4,mixed
2018-05-15,LALPATHLAB.NS,9.99,7-10%,12.24,0.23,-2.29,-1.44,flat,reversal,flat,0.583,0.555,2.59,7.18,4.39,1.24,0,0,1,0,1,0,2,weak
2018-05-17,BAJFINANCE.NS,7.63,7-10%,5.63,4.02,4.01,1.37,continuation,continuation,flat,0.883,0.751,0.52,4.2,-5.02,1.59,0,1,1,0,1,0,3,mixed
2018-05-17,JYOTHYLAB.NS,20.0,15%+,14.52,-6.68,-8.05,-11.42,reversal,reversal,reversal,1.0,0.993,1.9,5.48,-17.76,2.53,1,1,1,0,1,0,4,mixed
2018-05-17,RADICO.NS,7.76,7-10%,1.57,-6.88,-2.88,-1.94,reversal,reversal,flat,0.902,0.902,-0.71,1.68,3.72,0.97,1,1,1,1,1,0,5,strong
2018-05-17,PATANJALI.NS,7.73,7-10%,0.71,-3.35,2.39,22.01,reversal,flat,continuation,0.778,0.667,1.55,0.64,47.09,10.83,0,0,1,1,0,0,2,weak
2018-05-17,PETRONET.NS,7.63,7-10%,4.38,0.05,-3.5,-3.59,flat,reversal,reversal,0.682,0.638,0.02,3.6,11.43,2.03,0,0,1,0,0,0,1,weak
2018-05-17,TCI.NS,7.82,7-10%,5.79,-1.97,-6.69,-6.76,flat,reversal,reversal,0.78,0.471,4.11,2.21,1.25,0.52,0,0,1,1,1,0,3,mixed
2018-05-22,PATANJALI.NS,9.74,7-10%,0.52,9.35,15.89,22.9,continuation,continuation,continuation,1.0,0.529,5.13,0.6,45.82,3.12,1,0,0,1,0,0,2,weak
2018-05-23,PATANJALI.NS,9.35,7-10%,0.67,8.97,3.42,23.5,continuation,continuation,continuation,0.929,0.714,4.67,0.51,40.76,3.84,1,1,1,1,0,0,4,mixed
2018-05-24,PATANJALI.NS,8.97,7-10%,1.3,-2.75,3.14,15.69,reversal,continuation,continuation,0.895,0.368,5.98,0.68,35.44,6.29,0,0,0,1,0,0,1,weak
2018-05-25,GMMPFAUDLR.NS,8.28,7-10%,1.71,6.39,1.83,-5.81,continuation,flat,reversal,0.852,0.705,-0.0,2.98,1.47,1.73,0,1,1,1,1,0,4,mixed
2018-05-28,SUNPHARMA.NS,7.13,7-10%,2.74,-0.04,-3.87,-4.22,flat,reversal,reversal,0.79,0.589,3.98,1.45,11.24,1.78,0,0,1,1,0,0,2,weak
